"target_grade","assignment_preference","age","gender","university_year","enrolled_unit","weekly_study_hours","work_status","weekly_paid_work_hours","average_daily_sleep","usual_bedtime","weekly_exercise_hours","weekly_food_spend","wam"
"Distinction","draw up a schedule and work through it in planned stages",24,"M","First year","DATA2002",5,"Part time",20,"8.0",1899-12-31,3,100,65
"High Distinction","draw up a schedule and work through it in planned stages",20,"F","Second year","DATA2002",20,"I don't currently work",0,"6.0",1899-12-31 00:30:00,1,200,80
"High Distinction","do them immediately",21,"M","Second year","DATA2002",48,"Volunteer",0,"6.0",1899-12-31 19:00:00,2,100,76
"High Distinction","draw up a schedule and work through it in planned stages",22,"M","Third year","DATA2002",25,"I don't currently work",0,NA,1899-12-31 12:00:00,5,50,65
"High Distinction","cram at the last second",19,"F","Second year","DATA2002",30,"I don't currently work",0,"6.0",1899-12-31 02:00:00,3,50,55
"High Distinction","draw up a schedule and work through it in planned stages",19,"M","Second year","DATA2002",20,"I don't currently work",0,"8 hours",1899-12-31 23:00:00,5,50,58
"High Distinction","draw up a schedule and work through it in planned stages",19,"M","Second year","DATA2002",15,"Full time",45,"6.0",1899-12-31 22:00:00,10,50,89
"Distinction","do them immediately",23,"M","Third year","DATA2002",24,"Part time",24,"9 hours",1899-12-31 22:00:00,1,150,64
"Distinction","draw up a schedule and work through it in planned stages",21,"F","Third year","DATA2002",12,"Part time",23,"8.5",1899-12-31 10:30:00,3,250,21.7
"High Distinction","cram at the last second",20,"F","Third year","DATA2002",20,"Casual",14,"8.0",1899-12-31 12:30:00,1,80,78
"High Distinction","cram at the last second",20,"M","Second year","DATA2002",15,"Part time",0,"8.5",1899-12-31,12,350,77
"High Distinction","cram at the last second",20,"F","Second year","DATA2002",15,"Part time",14,"10.0",1899-12-31 12:00:00,4,50,77.5
"Distinction","draw up a schedule and work through it in planned stages",21,"M","Second year","DATA2002",42,"I don't currently work",0,"9.0",1899-12-31 11:30:00,7,50,NA
"High Distinction","draw up a schedule and work through it in planned stages",19,"M","Second year","DATA2002",20,"Part time",9,"7 hours",1899-12-31 21:00:00,5,50,84
"Distinction","cram at the last second",20,"M","Second year","DATA2002",5,"Part time",15,"7.0",1899-12-31,4,30,73
"Distinction","draw up a schedule and work through it in planned stages",19,"F","Second year","DATA2002",9,"Part time",15,"7.0",1899-12-31 12:00:00,4,30,74.9
"High Distinction","draw up a schedule and work through it in planned stages",12,"M","Fifth or higher year","DATA2902",2,"casual",170,"7.0",1899-12-31 11:00:00,2,50,84
